source,dest,action,note
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C5_15.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C5_15.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C6_52.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C6_52.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C5_42.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C5_42.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C6_44.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C6_44.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C5_54.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C5_54.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C6_13.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C6_13.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C6_68.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C6_68.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C5_97.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C5_97.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C5_78.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C5_78.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C6_29.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C6_29.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C6_8.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C6_8.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C5_39.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C5_39.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C5_81.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C5_81.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C5_19.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C5_19.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C5_1.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C5_1.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C5_58.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C5_58.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C6_48.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C6_48.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C5_74.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C5_74.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d17_pull2/2025_M7_D17_C6_64.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d17_pull2/tn_2025_M7_D17_C6_64.jpg,MAKE,MADE
